"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,1,0.5,3.1225e-17,0
4.4836e-13,0,0,1,1,0.5,3.1225e-17,0.011389
7.5459e-11,0,0,1,1,0.5,3.1225e-17,0.022778
2.5574e-10,0,0,1,1,0.5,3.1225e-17,0.034167
3.4118e-10,0,0,1,1,0.5,3.1225e-17,0.045556
3.0714e-10,0,0,1,1,0.5,3.1225e-17,0.056944
2.0718e-10,0,0,1,1,0.5,3.1225e-17,0.068333
8.7227e-11,0,0,1,1,0.5,3.1225e-17,0.079722
-2.5671e-11,0,0,1,1,0.5,3.1225e-17,0.091111
-1.001e-10,0,0,1,1,0.5,3.1225e-17,0.1
-1.1836e-10,0,0,1,1,0.5,3.1225e-17,0.10249
-1.8644e-10,0,0,1,1,0.5,3.1225e-17,0.11388
-2.303e-10,0,0,1,1,0.5,3.1225e-17,0.12527
-2.5303e-10,0,0,1,1,0.5,3.1225e-17,0.13666
-2.588e-10,0,0,1,1,0.5,3.1225e-17,0.14805
-2.5199e-10,0,0,1,1,0.5,3.1225e-17,0.15944
-2.366e-10,0,0,1,1,0.5,3.1225e-17,0.17083
-2.1604e-10,0,0,1,1,0.5,3.1225e-17,0.18222
-1.93e-10,0,0,1,1,0.5,3.1225e-17,0.19361
-1.7975e-10,0,0,1,1,0.5,3.1225e-17,0.2
-1.695e-10,0,0,1,1,0.5,3.1225e-17,0.20499
-1.4691e-10,0,0,1,1,0.5,3.1225e-17,0.21638
-1.2613e-10,0,0,1,1,0.5,3.1225e-17,0.22777
-1.0766e-10,0,0,1,1,0.5,3.1225e-17,0.23916
-9.1706e-11,0,0,1,1,0.5,3.1225e-17,0.25054
-7.8261e-11,0,0,1,1,0.5,3.1225e-17,0.26193
-6.7182e-11,0,0,1,1,0.5,3.1225e-17,0.27332
-5.8244e-11,0,0,1,1,0.5,3.1225e-17,0.28471
-5.1179e-11,0,0,1,1,0.5,3.1225e-17,0.2961
-4.9139e-11,0,0,1,1,0.5,3.1225e-17,0.3
-4.5707e-11,0,0,1,1,0.5,3.1225e-17,0.30748
-4.1548e-11,0,0,1,1,0.5,3.1225e-17,0.31887
-3.845e-11,0,0,1,1,0.5,3.1225e-17,0.33026
-3.6184e-11,0,0,1,1,0.5,3.1225e-17,0.34165
-3.455e-11,0,0,1,1,0.5,3.1225e-17,0.35304
-3.3381e-11,0,0,1,1,0.5,3.1225e-17,0.36443
-3.2538e-11,0,0,1,1,0.5,3.1225e-17,0.37582
-3.1909e-11,0,0,1,1,0.5,3.1225e-17,0.3872
-3.1408e-11,0,0,1,1,0.5,3.1225e-17,0.39859
-3.1351e-11,0,0,1,1,0.5,3.1225e-17,0.4
-3.0969e-11,0,0,1,1,0.5,3.1225e-17,0.40998
-3.0543e-11,0,0,1,1,0.5,3.1225e-17,0.42137
-3.0098e-11,0,0,1,1,0.5,3.1225e-17,0.43275
-2.9612e-11,0,0,1,1,0.5,3.1225e-17,0.44414
-2.9073e-11,0,0,1,1,0.5,3.1225e-17,0.45553
-2.8476e-11,0,0,1,1,0.5,3.1225e-17,0.46692
-2.782e-11,0,0,1,1,0.5,3.1225e-17,0.47831
-2.7109e-11,0,0,1,1,0.5,3.1225e-17,0.4897
-2.642e-11,0,0,1,1,0.5,3.1225e-17,0.5
-2.6346e-11,0,0,1,1,0.5,3.1225e-17,0.50108
-2.5533e-11,0,0,1,1,0.5,3.1225e-17,0.51247
-2.4672e-11,0,0,1,1,0.5,3.1225e-17,0.52386
-2.3757e-11,0,0,1,1,0.5,3.1225e-17,0.53525
-2.2777e-11,0,0,1,1,0.5,3.1225e-17,0.54664
-2.1708e-11,0,0,1,1,0.5,3.1225e-17,0.55803
-2.0509e-11,0,0,1,1,0.5,3.1225e-17,0.56942
-1.9117e-11,0,0,1,1,0.5,3.1225e-17,0.5808
-1.7437e-11,0,0,1,1,0.5,3.1225e-17,0.59219
-1.605e-11,0,0,1,1,0.5,3.1225e-17,0.6
-1.5332e-11,0,0,1,1,0.5,3.1225e-17,0.60358
-1.2605e-11,0,0,1,1,0.5,3.1225e-17,0.61496
-8.9849e-12,0,0,1,1,0.5,3.1225e-17,0.62635
-4.1002e-12,0,0,1,1,0.5,3.1225e-17,0.63774
2.5501e-12,0,0,1,1,0.5,3.1225e-17,0.64913
1.1633e-11,0,0,1,1,0.5,3.1225e-17,0.66052
2.4026e-11,0,0,1,1,0.5,3.1225e-17,0.67191
4.0871e-11,0,0,1,1,0.5,3.1225e-17,0.6833
6.3642e-11,0,0,1,1,0.5,3.1225e-17,0.69469
7.6802e-11,0,0,1,1,0.5,3.1225e-17,0.7
9.4201e-11,0,0,1,1,0.5,3.1225e-17,0.70607
1.3496e-10,0,0,1,1,0.5,3.1225e-17,0.71746
1.8889e-10,0,0,1,1,0.5,3.1225e-17,0.72885
2.597e-10,0,0,1,1,0.5,3.1225e-17,0.74024
3.5201e-10,0,0,1,1,0.5,3.1225e-17,0.75163
4.7143e-10,0,0,1,1,0.5,3.1225e-17,0.76301
6.2484e-10,0,0,1,1,0.5,3.1225e-17,0.7744
8.2055e-10,0,0,1,1,0.5,3.1225e-17,0.78579
1.0686e-09,0,0,1,1,0.5,3.1225e-17,0.79718
1.1393e-09,0,0,1,1,0.5,3.1225e-17,0.8
1.3806e-09,0,0,1,1,0.5,3.1225e-17,0.80856
1.7713e-09,0,0,1,1,0.5,3.1225e-17,0.81995
2.2573e-09,0,0,1,1,0.5,3.1225e-17,0.83134
2.8584e-09,0,0,1,1,0.5,3.1225e-17,0.84273
3.5976e-09,0,0,1,1,0.5,3.1225e-17,0.85412
4.5021e-09,0,0,1,1,0.5,3.1225e-17,0.86551
5.6031e-09,0,0,1,1,0.5,3.1225e-17,0.8769
6.9368e-09,0,0,1,1,0.5,3.1225e-17,0.88829
