"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,1,0.5,3.1225e-17,0
7.4168e-40,0,0,1,1,0.5,3.1225e-17,0.011389
1.2079e-27,0,0,1,1,0.5,3.1225e-17,0.022778
3.9844e-22,0,0,1,1,0.5,3.1225e-17,0.034167
6.8687e-19,0,0,1,1,0.5,3.1225e-17,0.045556
9.3253e-17,0,0,1,1,0.5,3.1225e-17,0.056944
2.9656e-15,0,0,1,1,0.5,3.1225e-17,0.068333
3.7811e-14,0,0,1,1,0.5,3.1225e-17,0.079722
2.6075e-13,0,0,1,1,0.5,3.1225e-17,0.091111
8.6494e-13,0,0,1,1,0.5,3.1225e-17,0.1
1.1508e-12,0,0,1,1,0.5,3.1225e-17,0.10239
3.7515e-12,0,0,1,1,0.5,3.1225e-17,0.11378
9.6064e-12,0,0,1,1,0.5,3.1225e-17,0.12517
2.0384e-11,0,0,1,1,0.5,3.1225e-17,0.13656
3.723e-11,0,0,1,1,0.5,3.1225e-17,0.14795
6.0154e-11,0,0,1,1,0.5,3.1225e-17,0.15934
8.7736e-11,0,0,1,1,0.5,3.1225e-17,0.17072
1.1725e-10,0,0,1,1,0.5,3.1225e-17,0.18211
1.4515e-10,0,0,1,1,0.5,3.1225e-17,0.1935
1.5891e-10,0,0,1,1,0.5,3.1225e-17,0.2
1.6757e-10,0,0,1,1,0.5,3.1225e-17,0.20478
1.818e-10,0,0,1,1,0.5,3.1225e-17,0.21617
1.8542e-10,0,0,1,1,0.5,3.1225e-17,0.22756
1.7743e-10,0,0,1,1,0.5,3.1225e-17,0.23895
1.5801e-10,0,0,1,1,0.5,3.1225e-17,0.25034
1.2824e-10,0,0,1,1,0.5,3.1225e-17,0.26173
8.9746e-11,0,0,1,1,0.5,3.1225e-17,0.27312
4.4323e-11,0,0,1,1,0.5,3.1225e-17,0.28451
-6.3231e-12,0,0,1,1,0.5,3.1225e-17,0.29589
-2.5578e-11,0,0,1,1,0.5,3.1225e-17,0.3
-6.0245e-11,0,0,1,1,0.5,3.1225e-17,0.30717
-1.1741e-10,0,0,1,1,0.5,3.1225e-17,0.31856
-1.7651e-10,0,0,1,1,0.5,3.1225e-17,0.32995
-2.3698e-10,0,0,1,1,0.5,3.1225e-17,0.34134
-2.9828e-10,0,0,1,1,0.5,3.1225e-17,0.35273
-3.5991e-10,0,0,1,1,0.5,3.1225e-17,0.36412
-4.2133e-10,0,0,1,1,0.5,3.1225e-17,0.37551
-4.8203e-10,0,0,1,1,0.5,3.1225e-17,0.3869
-5.4156e-10,0,0,1,1,0.5,3.1225e-17,0.39829
-5.504e-10,0,0,1,1,0.5,3.1225e-17,0.4
-5.9911e-10,0,0,1,1,0.5,3.1225e-17,0.40957
-6.5572e-10,0,0,1,1,0.5,3.1225e-17,0.42096
-7.11e-10,0,0,1,1,0.5,3.1225e-17,0.43234
-7.6526e-10,0,0,1,1,0.5,3.1225e-17,0.44373
-8.1885e-10,0,0,1,1,0.5,3.1225e-17,0.45512
-8.72e-10,0,0,1,1,0.5,3.1225e-17,0.46651
-9.2471e-10,0,0,1,1,0.5,3.1225e-17,0.4779
-9.7672e-10,0,0,1,1,0.5,3.1225e-17,0.48929
-1.0246e-09,0,0,1,1,0.5,3.1225e-17,0.5
-1.0271e-09,0,0,1,1,0.5,3.1225e-17,0.50057
-1.0762e-09,0,0,1,1,0.5,3.1225e-17,0.51196
-1.1232e-09,0,0,1,1,0.5,3.1225e-17,0.52335
-1.168e-09,0,0,1,1,0.5,3.1225e-17,0.53474
-1.211e-09,0,0,1,1,0.5,3.1225e-17,0.54612
-1.2527e-09,0,0,1,1,0.5,3.1225e-17,0.55751
-1.2937e-09,0,0,1,1,0.5,3.1225e-17,0.5689
-1.3344e-09,0,0,1,1,0.5,3.1225e-17,0.58029
-1.3744e-09,0,0,1,1,0.5,3.1225e-17,0.59168
-1.4028e-09,0,0,1,1,0.5,3.1225e-17,0.6
-1.4127e-09,0,0,1,1,0.5,3.1225e-17,0.60296
-1.449e-09,0,0,1,1,0.5,3.1225e-17,0.61435
-1.4823e-09,0,0,1,1,0.5,3.1225e-17,0.62574
-1.5127e-09,0,0,1,1,0.5,3.1225e-17,0.63713
-1.541e-09,0,0,1,1,0.5,3.1225e-17,0.64852
-1.5687e-09,0,0,1,1,0.5,3.1225e-17,0.65991
-1.5968e-09,0,0,1,1,0.5,3.1225e-17,0.67129
-1.6256e-09,0,0,1,1,0.5,3.1225e-17,0.68268
-1.6537e-09,0,0,1,1,0.5,3.1225e-17,0.69407
-1.6674e-09,0,0,1,1,0.5,3.1225e-17,0.7
-1.6789e-09,0,0,1,1,0.5,3.1225e-17,0.70535
-1.7001e-09,0,0,1,1,0.5,3.1225e-17,0.71674
-1.7173e-09,0,0,1,1,0.5,3.1225e-17,0.72813
-1.7327e-09,0,0,1,1,0.5,3.1225e-17,0.73952
-1.7492e-09,0,0,1,1,0.5,3.1225e-17,0.75091
-1.7686e-09,0,0,1,1,0.5,3.1225e-17,0.7623
-1.7897e-09,0,0,1,1,0.5,3.1225e-17,0.77369
-1.8088e-09,0,0,1,1,0.5,3.1225e-17,0.78507
-1.8222e-09,0,0,1,1,0.5,3.1225e-17,0.79646
-1.8249e-09,0,0,1,1,0.5,3.1225e-17,0.8
-1.8291e-09,0,0,1,1,0.5,3.1225e-17,0.80774
-1.8336e-09,0,0,1,1,0.5,3.1225e-17,0.81913
-1.8412e-09,0,0,1,1,0.5,3.1225e-17,0.83052
-1.8552e-09,0,0,1,1,0.5,3.1225e-17,0.84191
-1.8726e-09,0,0,1,1,0.5,3.1225e-17,0.8533
-1.8856e-09,0,0,1,1,0.5,3.1225e-17,0.86469
-1.8887e-09,0,0,1,1,0.5,3.1225e-17,0.87608
-1.8839e-09,0,0,1,1,0.5,3.1225e-17,0.88747
-1.8805e-09,0,0,1,1,0.5,3.1225e-17,0.89886
-1.8807e-09,0,0,1,1,0.5,3.1225e-17,0.9
-1.8873e-09,0,0,1,1,0.5,3.1225e-17,0.91014
-1.9033e-09,0,0,1,1,0.5,3.1225e-17,0.92153
-1.917e-09,0,0,1,1,0.5,3.1225e-17,0.93291
-1.9164e-09,0,0,1,1,0.5,3.1225e-17,0.9443
-1.9024e-09,0,0,1,1,0.5,3.1225e-17,0.95569
-1.89e-09,0,0,1,1,0.5,3.1225e-17,0.96708
-1.8944e-09,0,0,1,1,0.5,3.1225e-17,0.97847
-1.9131e-09,0,0,1,1,0.5,3.1225e-17,0.98986
-1.9255e-09,0,0,1,1,0.5,3.1225e-17,1
-1.9259e-09,0,0,1,1,0.5,3.1225e-17,1.0011
-1.916e-09,0,0,1,1,0.5,3.1225e-17,1.0125
-1.8897e-09,0,0,1,1,0.5,3.1225e-17,1.0239
-1.8744e-09,0,0,1,1,0.5,3.1225e-17,1.0353
-1.8874e-09,0,0,1,1,0.5,3.1225e-17,1.0467
-1.9126e-09,0,0,1,1,0.5,3.1225e-17,1.0581
-1.9149e-09,0,0,1,1,0.5,3.1225e-17,1.0695
-1.8827e-09,0,0,1,1,0.5,3.1225e-17,1.0809
-1.8478e-09,0,0,1,1,0.5,3.1225e-17,1.0922
-1.8443e-09,0,0,1,1,0.5,3.1225e-17,1.1
-1.8498e-09,0,0,1,1,0.5,3.1225e-17,1.1035
-1.8844e-09,0,0,1,1,0.5,3.1225e-17,1.1149
-1.9013e-09,0,0,1,1,0.5,3.1225e-17,1.1263
-1.8657e-09,0,0,1,1,0.5,3.1225e-17,1.1377
-1.8114e-09,0,0,1,1,0.5,3.1225e-17,1.1491
-1.8042e-09,0,0,1,1,0.5,3.1225e-17,1.1605
-1.8516e-09,0,0,1,1,0.5,3.1225e-17,1.1719
-1.8812e-09,0,0,1,1,0.5,3.1225e-17,1.1833
-1.8347e-09,0,0,1,1,0.5,3.1225e-17,1.1946
-1.7962e-09,0,0,1,1,0.5,3.1225e-17,1.2
-1.7594e-09,0,0,1,1,0.5,3.1225e-17,1.2059
-1.7528e-09,0,0,1,1,0.5,3.1225e-17,1.2173
-1.8238e-09,0,0,1,1,0.5,3.1225e-17,1.2287
-1.8598e-09,0,0,1,1,0.5,3.1225e-17,1.2401
-1.7839e-09,0,0,1,1,0.5,3.1225e-17,1.2515
-1.6856e-09,0,0,1,1,0.5,3.1225e-17,1.2629
-1.7064e-09,0,0,1,1,0.5,3.1225e-17,1.2743
-1.816e-09,0,0,1,1,0.5,3.1225e-17,1.2856
-1.8308e-09,0,0,1,1,0.5,3.1225e-17,1.297
-1.8054e-09,0,0,1,1,0.5,3.1225e-17,1.3
-1.6951e-09,0,0,1,1,0.5,3.1225e-17,1.3083
-1.5951e-09,0,0,1,1,0.5,3.1225e-17,1.3197
-1.6921e-09,0,0,1,1,0.5,3.1225e-17,1.3311
-1.8337e-09,0,0,1,1,0.5,3.1225e-17,1.3425
-1.7609e-09,0,0,1,1,0.5,3.1225e-17,1.3539
-1.5465e-09,0,0,1,1,0.5,3.1225e-17,1.3653
-1.5298e-09,0,0,1,1,0.5,3.1225e-17,1.3766
-1.7566e-09,0,0,1,1,0.5,3.1225e-17,1.388
-1.8371e-09,0,0,1,1,0.5,3.1225e-17,1.3994
-1.8309e-09,0,0,1,1,0.5,3.1225e-17,1.4
-1.5792e-09,0,0,1,1,0.5,3.1225e-17,1.4107
-1.3751e-09,0,0,1,1,0.5,3.1225e-17,1.4221
-1.5973e-09,0,0,1,1,0.5,3.1225e-17,1.4335
-1.8833e-09,0,0,1,1,0.5,3.1225e-17,1.4449
-1.6776e-09,0,0,1,1,0.5,3.1225e-17,1.4563
-1.2604e-09,0,0,1,1,0.5,3.1225e-17,1.4676
-1.3783e-09,0,0,1,1,0.5,3.1225e-17,1.479
-1.8808e-09,0,0,1,1,0.5,3.1225e-17,1.4904
-1.8946e-09,0,0,1,1,0.5,3.1225e-17,1.5
-1.8321e-09,0,0,1,1,0.5,3.1225e-17,1.5017
