"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
-2.0101e-15,0,0,1,2,0.2,3.1225e-17,0.41895
-2.5651e-15,0,0,1,2,0.2,3.1225e-17,0.42351
-3.1391e-15,0,0,1,2,0.2,3.1225e-17,0.42806
-3.731e-15,0,0,1,2,0.2,3.1225e-17,0.43262
-4.3396e-15,0,0,1,2,0.2,3.1225e-17,0.43717
-4.9638e-15,0,0,1,2,0.2,3.1225e-17,0.44173
-5.6024e-15,0,0,1,2,0.2,3.1225e-17,0.44628
-6.2542e-15,0,0,1,2,0.2,3.1225e-17,0.45084
-6.9183e-15,0,0,1,2,0.2,3.1225e-17,0.4554
-7.5935e-15,0,0,1,2,0.2,3.1225e-17,0.45995
-8.2788e-15,0,0,1,2,0.2,3.1225e-17,0.46451
-8.9733e-15,0,0,1,2,0.2,3.1225e-17,0.46906
-9.676e-15,0,0,1,2,0.2,3.1225e-17,0.47362
-1.0386e-14,0,0,1,2,0.2,3.1225e-17,0.47817
-1.1103e-14,0,0,1,2,0.2,3.1225e-17,0.48273
-1.1825e-14,0,0,1,2,0.2,3.1225e-17,0.48728
-1.2553e-14,0,0,1,2,0.2,3.1225e-17,0.49184
-1.3286e-14,0,0,1,2,0.2,3.1225e-17,0.4964
-1.3868e-14,0,0,1,2,0.2,3.1225e-17,0.5
-1.4016e-14,0,0,1,2,0.2,3.1225e-17,0.50091
-1.4756e-14,0,0,1,2,0.2,3.1225e-17,0.50547
-1.55e-14,0,0,1,2,0.2,3.1225e-17,0.51002
-1.6247e-14,0,0,1,2,0.2,3.1225e-17,0.51458
-1.6997e-14,0,0,1,2,0.2,3.1225e-17,0.51913
-1.7749e-14,0,0,1,2,0.2,3.1225e-17,0.52369
-1.8505e-14,0,0,1,2,0.2,3.1225e-17,0.52824
-1.9263e-14,0,0,1,2,0.2,3.1225e-17,0.5328
-2.0025e-14,0,0,1,2,0.2,3.1225e-17,0.53736
-2.079e-14,0,0,1,2,0.2,3.1225e-17,0.54191
-2.1559e-14,0,0,1,2,0.2,3.1225e-17,0.54647
-2.2332e-14,0,0,1,2,0.2,3.1225e-17,0.55102
-2.3109e-14,0,0,1,2,0.2,3.1225e-17,0.55558
-2.3892e-14,0,0,1,2,0.2,3.1225e-17,0.56013
-2.4681e-14,0,0,1,2,0.2,3.1225e-17,0.56469
-2.5476e-14,0,0,1,2,0.2,3.1225e-17,0.56924
-2.6279e-14,0,0,1,2,0.2,3.1225e-17,0.5738
-2.709e-14,0,0,1,2,0.2,3.1225e-17,0.57836
-2.791e-14,0,0,1,2,0.2,3.1225e-17,0.58291
-2.8741e-14,0,0,1,2,0.2,3.1225e-17,0.58747
-2.9583e-14,0,0,1,2,0.2,3.1225e-17,0.59202
-3.0438e-14,0,0,1,2,0.2,3.1225e-17,0.59658
-3.109e-14,0,0,1,2,0.2,3.1225e-17,0.6
-3.13e-14,0,0,1,2,0.2,3.1225e-17,0.60109
-3.2184e-14,0,0,1,2,0.2,3.1225e-17,0.60565
-3.3085e-14,0,0,1,2,0.2,3.1225e-17,0.6102
-3.4003e-14,0,0,1,2,0.2,3.1225e-17,0.61476
-3.4942e-14,0,0,1,2,0.2,3.1225e-17,0.61932
-3.5902e-14,0,0,1,2,0.2,3.1225e-17,0.62387
-3.6884e-14,0,0,1,2,0.2,3.1225e-17,0.62843
-3.7891e-14,0,0,1,2,0.2,3.1225e-17,0.63298
-3.8924e-14,0,0,1,2,0.2,3.1225e-17,0.63754
-3.9985e-14,0,0,1,2,0.2,3.1225e-17,0.64209
-4.1075e-14,0,0,1,2,0.2,3.1225e-17,0.64665
-4.2197e-14,0,0,1,2,0.2,3.1225e-17,0.6512
-4.3353e-14,0,0,1,2,0.2,3.1225e-17,0.65576
-4.4544e-14,0,0,1,2,0.2,3.1225e-17,0.66032
-4.5772e-14,0,0,1,2,0.2,3.1225e-17,0.66487
-4.7039e-14,0,0,1,2,0.2,3.1225e-17,0.66943
-4.8348e-14,0,0,1,2,0.2,3.1225e-17,0.67398
-4.97e-14,0,0,1,2,0.2,3.1225e-17,0.67854
-5.1098e-14,0,0,1,2,0.2,3.1225e-17,0.68309
-5.2543e-14,0,0,1,2,0.2,3.1225e-17,0.68765
-5.4037e-14,0,0,1,2,0.2,3.1225e-17,0.6922
-5.5584e-14,0,0,1,2,0.2,3.1225e-17,0.69676
-5.6716e-14,0,0,1,2,0.2,3.1225e-17,0.7
-5.717e-14,0,0,1,2,0.2,3.1225e-17,0.70128
-5.8826e-14,0,0,1,2,0.2,3.1225e-17,0.70583
-6.054e-14,0,0,1,2,0.2,3.1225e-17,0.71039
-6.2314e-14,0,0,1,2,0.2,3.1225e-17,0.71494
-6.4151e-14,0,0,1,2,0.2,3.1225e-17,0.7195
-6.6053e-14,0,0,1,2,0.2,3.1225e-17,0.72405
-6.8022e-14,0,0,1,2,0.2,3.1225e-17,0.72861
-7.0061e-14,0,0,1,2,0.2,3.1225e-17,0.73316
