"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,2,0.2,3.1225e-17,0
1.6915e-32,0,0,1,2,0.2,3.1225e-17,0.011389
2.4061e-22,0,0,1,2,0.2,3.1225e-17,0.022778
7.8003e-19,0,0,1,2,0.2,3.1225e-17,0.034167
3.8544e-17,0,0,1,2,0.2,3.1225e-17,0.045556
3.5127e-16,0,0,1,2,0.2,3.1225e-17,0.056944
1.3839e-15,0,0,1,2,0.2,3.1225e-17,0.068333
3.3944e-15,0,0,1,2,0.2,3.1225e-17,0.079722
6.2179e-15,0,0,1,2,0.2,3.1225e-17,0.091111
8.7173e-15,0,0,1,2,0.2,3.1225e-17,0.1
9.4345e-15,0,0,1,2,0.2,3.1225e-17,0.10249
1.2699e-14,0,0,1,2,0.2,3.1225e-17,0.11388
1.5967e-14,0,0,1,2,0.2,3.1225e-17,0.12527
1.9558e-14,0,0,1,2,0.2,3.1225e-17,0.13666
2.4059e-14,0,0,1,2,0.2,3.1225e-17,0.14805
3.0147e-14,0,0,1,2,0.2,3.1225e-17,0.15944
3.8396e-14,0,0,1,2,0.2,3.1225e-17,0.17083
4.9129e-14,0,0,1,2,0.2,3.1225e-17,0.18222
6.2346e-14,0,0,1,2,0.2,3.1225e-17,0.19361
7.0741e-14,0,0,1,2,0.2,3.1225e-17,0.2
7.7698e-14,0,0,1,2,0.2,3.1225e-17,0.20499
9.4572e-14,0,0,1,2,0.2,3.1225e-17,0.21638
1.1212e-13,0,0,1,2,0.2,3.1225e-17,0.22777
1.2937e-13,0,0,1,2,0.2,3.1225e-17,0.23916
1.4536e-13,0,0,1,2,0.2,3.1225e-17,0.25054
1.5914e-13,0,0,1,2,0.2,3.1225e-17,0.26193
1.6991e-13,0,0,1,2,0.2,3.1225e-17,0.27332
1.7703e-13,0,0,1,2,0.2,3.1225e-17,0.28471
1.8002e-13,0,0,1,2,0.2,3.1225e-17,0.2961
1.8003e-13,0,0,1,2,0.2,3.1225e-17,0.3
1.7859e-13,0,0,1,2,0.2,3.1225e-17,0.30748
1.7263e-13,0,0,1,2,0.2,3.1225e-17,0.31887
1.6218e-13,0,0,1,2,0.2,3.1225e-17,0.33026
1.4741e-13,0,0,1,2,0.2,3.1225e-17,0.34165
1.2859e-13,0,0,1,2,0.2,3.1225e-17,0.35304
1.0607e-13,0,0,1,2,0.2,3.1225e-17,0.36443
8.0256e-14,0,0,1,2,0.2,3.1225e-17,0.37582
5.1566e-14,0,0,1,2,0.2,3.1225e-17,0.3872
2.0435e-14,0,0,1,2,0.2,3.1225e-17,0.39859
1.6443e-14,0,0,1,2,0.2,3.1225e-17,0.4
-1.2693e-14,0,0,1,2,0.2,3.1225e-17,0.40998
-4.7448e-14,0,0,1,2,0.2,3.1225e-17,0.42137
-8.3432e-14,0,0,1,2,0.2,3.1225e-17,0.43275
-1.203e-13,0,0,1,2,0.2,3.1225e-17,0.44414
-1.5773e-13,0,0,1,2,0.2,3.1225e-17,0.45553
-1.9546e-13,0,0,1,2,0.2,3.1225e-17,0.46692
-2.3324e-13,0,0,1,2,0.2,3.1225e-17,0.47831
-2.7087e-13,0,0,1,2,0.2,3.1225e-17,0.4897
-3.0464e-13,0,0,1,2,0.2,3.1225e-17,0.5
-3.0817e-13,0,0,1,2,0.2,3.1225e-17,0.50108
-3.4504e-13,0,0,1,2,0.2,3.1225e-17,0.51247
-3.8134e-13,0,0,1,2,0.2,3.1225e-17,0.52386
-4.17e-13,0,0,1,2,0.2,3.1225e-17,0.53525
-4.5194e-13,0,0,1,2,0.2,3.1225e-17,0.54664
-4.8612e-13,0,0,1,2,0.2,3.1225e-17,0.55803
-5.1951e-13,0,0,1,2,0.2,3.1225e-17,0.56942
-5.5207e-13,0,0,1,2,0.2,3.1225e-17,0.5808
-5.838e-13,0,0,1,2,0.2,3.1225e-17,0.59219
-6.0507e-13,0,0,1,2,0.2,3.1225e-17,0.6
-6.1468e-13,0,0,1,2,0.2,3.1225e-17,0.60358
-6.4472e-13,0,0,1,2,0.2,3.1225e-17,0.61496
-6.7393e-13,0,0,1,2,0.2,3.1225e-17,0.62635
-7.023e-13,0,0,1,2,0.2,3.1225e-17,0.63774
-7.2985e-13,0,0,1,2,0.2,3.1225e-17,0.64913
-7.5658e-13,0,0,1,2,0.2,3.1225e-17,0.66052
-7.8251e-13,0,0,1,2,0.2,3.1225e-17,0.67191
