"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,1,0.5,3.1225e-17,0
2.9683e-40,0,0,1,1,0.5,3.1225e-17,0.0045556
4.8428e-28,0,0,1,1,0.5,3.1225e-17,0.0091111
1.6032e-22,0,0,1,1,0.5,3.1225e-17,0.013667
2.7799e-19,0,0,1,1,0.5,3.1225e-17,0.018222
3.8077e-17,0,0,1,1,0.5,3.1225e-17,0.022778
1.2263e-15,0,0,1,1,0.5,3.1225e-17,0.027333
1.5909e-14,0,0,1,1,0.5,3.1225e-17,0.031889
1.1226e-13,0,0,1,1,0.5,3.1225e-17,0.036444
5.1681e-13,0,0,1,1,0.5,3.1225e-17,0.041
1.7441e-12,0,0,1,1,0.5,3.1225e-17,0.045556
4.6655e-12,0,0,1,1,0.5,3.1225e-17,0.050111
1.0445e-11,0,0,1,1,0.5,3.1225e-17,0.054667
2.0345e-11,0,0,1,1,0.5,3.1225e-17,0.059222
3.5464e-11,0,0,1,1,0.5,3.1225e-17,0.063778
5.6506e-11,0,0,1,1,0.5,3.1225e-17,0.068333
8.3622e-11,0,0,1,1,0.5,3.1225e-17,0.072889
1.1636e-10,0,0,1,1,0.5,3.1225e-17,0.077444
1.5369e-10,0,0,1,1,0.5,3.1225e-17,0.082
1.9414e-10,0,0,1,1,0.5,3.1225e-17,0.086556
2.3594e-10,0,0,1,1,0.5,3.1225e-17,0.091111
2.7714e-10,0,0,1,1,0.5,3.1225e-17,0.095667
3.1401e-10,0,0,1,1,0.5,3.1225e-17,0.1
3.1549e-10,0,0,1,1,0.5,3.1225e-17,0.10018
3.4984e-10,0,0,1,1,0.5,3.1225e-17,0.10474
3.7826e-10,0,0,1,1,0.5,3.1225e-17,0.10929
3.9941e-10,0,0,1,1,0.5,3.1225e-17,0.11385
4.123e-10,0,0,1,1,0.5,3.1225e-17,0.1184
4.1629e-10,0,0,1,1,0.5,3.1225e-17,0.12296
4.1105e-10,0,0,1,1,0.5,3.1225e-17,0.12752
3.9658e-10,0,0,1,1,0.5,3.1225e-17,0.13207
3.7316e-10,0,0,1,1,0.5,3.1225e-17,0.13663
3.413e-10,0,0,1,1,0.5,3.1225e-17,0.14118
3.0172e-10,0,0,1,1,0.5,3.1225e-17,0.14574
2.5529e-10,0,0,1,1,0.5,3.1225e-17,0.15029
2.0298e-10,0,0,1,1,0.5,3.1225e-17,0.15485
1.4583e-10,0,0,1,1,0.5,3.1225e-17,0.1594
8.4902e-11,0,0,1,1,0.5,3.1225e-17,0.16396
2.1261e-11,0,0,1,1,0.5,3.1225e-17,0.16852
-4.4071e-11,0,0,1,1,0.5,3.1225e-17,0.17307
-1.1013e-10,0,0,1,1,0.5,3.1225e-17,0.17763
-1.7601e-10,0,0,1,1,0.5,3.1225e-17,0.18218
-2.4093e-10,0,0,1,1,0.5,3.1225e-17,0.18674
-3.0418e-10,0,0,1,1,0.5,3.1225e-17,0.19129
