"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,2,0.2,3.1225e-17,0
-0,0,0,1,2,0.2,3.1225e-17,0.011389
-0,0,0,1,2,0.2,3.1225e-17,0.022778
-0,0,0,1,2,0.2,3.1225e-17,0.034167
-0,0,0,1,2,0.2,3.1225e-17,0.045556
-0,0,0,1,2,0.2,3.1225e-17,0.056944
-3.237e-43,0,0,1,2,0.2,3.1225e-17,0.068333
1.2313e-39,0,0,1,2,0.2,3.1225e-17,0.079722
3.2223e-36,0,0,1,2,0.2,3.1225e-17,0.091111
3.8274e-34,0,0,1,2,0.2,3.1225e-17,0.1
1.2106e-33,0,0,1,2,0.2,3.1225e-17,0.10239
1.5857e-31,0,0,1,2,0.2,3.1225e-17,0.11378
9.2746e-30,0,0,1,2,0.2,3.1225e-17,0.12517
2.9275e-28,0,0,1,2,0.2,3.1225e-17,0.13656
5.6777e-27,0,0,1,2,0.2,3.1225e-17,0.14795
7.4337e-26,0,0,1,2,0.2,3.1225e-17,0.15934
7.0512e-25,0,0,1,2,0.2,3.1225e-17,0.17072
5.1163e-24,0,0,1,2,0.2,3.1225e-17,0.18211
2.9634e-23,0,0,1,2,0.2,3.1225e-17,0.1935
7.395e-23,0,0,1,2,0.2,3.1225e-17,0.2
1.3977e-22,0,0,1,2,0.2,3.1225e-17,0.20478
5.6836e-22,0,0,1,2,0.2,3.1225e-17,0.21617
2.0058e-21,0,0,1,2,0.2,3.1225e-17,0.22756
6.2588e-21,0,0,1,2,0.2,3.1225e-17,0.23895
1.7535e-20,0,0,1,2,0.2,3.1225e-17,0.25034
4.4683e-20,0,0,1,2,0.2,3.1225e-17,0.26173
1.047e-19,0,0,1,2,0.2,3.1225e-17,0.27312
2.2772e-19,0,0,1,2,0.2,3.1225e-17,0.28451
4.6336e-19,0,0,1,2,0.2,3.1225e-17,0.29589
5.8969e-19,0,0,1,2,0.2,3.1225e-17,0.3
8.829e-19,0,0,1,2,0.2,3.1225e-17,0.30717
1.6045e-18,0,0,1,2,0.2,3.1225e-17,0.31856
2.7772e-18,0,0,1,2,0.2,3.1225e-17,0.32995
4.5994e-18,0,0,1,2,0.2,3.1225e-17,0.34134
7.3172e-18,0,0,1,2,0.2,3.1225e-17,0.35273
1.1222e-17,0,0,1,2,0.2,3.1225e-17,0.36412
1.6641e-17,0,0,1,2,0.2,3.1225e-17,0.37551
2.3928e-17,0,0,1,2,0.2,3.1225e-17,0.3869
3.3443e-17,0,0,1,2,0.2,3.1225e-17,0.39829
3.5089e-17,0,0,1,2,0.2,3.1225e-17,0.4
